2.5 kn; 0 deg,,,,,,,,,,,,,,,,
,Encounter freq. rad/s,Wave freq. rad/s,Wavelength m,Surge RAO,Surge Phase deg,Sway RAO,Sway Phase deg,Heave RAO,Heave Phase deg,Roll RAO,Roll Phase deg,Pitch RAO,Pitch Phase deg,Yaw RAO,Yaw Phase deg,Added resistance kN/m^2
55,1.85,3.16,6.171,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.859,3.211,5.976,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1.867,3.262,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.874,3.313,5.613,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1.88,3.364,5.443,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.886,3.416,5.282,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.891,3.467,5.127,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1.895,3.518,4.979,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.898,3.569,4.838,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1.901,3.62,4.702,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1.904,3.671,4.572,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1.905,3.722,4.447,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1.906,3.773,4.328,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.906,3.824,4.213,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.906,3.876,4.102,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1.905,3.927,3.996,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1.903,3.978,3.894,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1.9,4.029,3.796,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1.897,4.08,3.702,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.893,4.131,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1.888,4.182,3.523,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1.883,4.233,3.438,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1.877,4.284,3.357,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1.87,4.336,3.278,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1.863,4.387,3.202,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1.855,4.438,3.129,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1.846,4.489,3.058,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1.837,4.54,2.989,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1.827,4.591,2.923,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1.816,4.642,2.859,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1.805,4.693,2.797,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1.792,4.744,2.737,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1.78,4.796,2.679,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1.766,4.847,2.623,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1.752,4.898,2.569,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1.737,4.949,2.516,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1.721,5,2.465,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5 kn; 45 deg,,,,,,,,,,,,,,,,
,Encounter freq. rad/s,Wave freq. rad/s,Wavelength m,Surge RAO,Surge Phase deg,Sway RAO,Sway Phase deg,Heave RAO,Heave Phase deg,Roll RAO,Roll Phase deg,Pitch RAO,Pitch Phase deg,Yaw RAO,Yaw Phase deg,Added resistance kN/m^2
1,0.385,0.4,385.106,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.432,0.451,302.784,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.479,0.502,244.292,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.525,0.553,201.246,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.571,0.604,168.651,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.616,0.656,143.378,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.66,0.707,123.388,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.705,0.758,107.304,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.748,0.809,94.172,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.791,0.86,83.311,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.834,0.911,74.226,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.876,0.962,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.918,1.013,60.006,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.959,1.064,54.382,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1.116,49.513,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.04,1.167,45.27,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.08,1.218,41.549,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.12,1.269,38.27,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.158,1.32,35.363,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.197,1.371,32.776,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.235,1.422,30.463,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.272,1.473,28.386,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.309,1.524,26.514,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.345,1.576,24.822,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.381,1.627,23.286,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.417,1.678,21.889,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.452,1.729,20.614,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.486,1.78,19.447,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.52,1.831,18.377,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.554,1.882,17.392,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.587,1.933,16.485,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.619,1.984,15.647,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.651,2.036,14.871,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.683,2.087,14.151,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.714,2.138,13.483,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.745,2.189,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.775,2.24,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.804,2.291,11.738,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.833,2.342,11.232,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.862,2.393,10.757,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.89,2.444,10.312,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.918,2.496,9.894,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1.945,2.547,9.501,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.972,2.598,9.131,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.998,2.649,8.782,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2.024,2.7,8.452,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.049,2.751,8.141,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2.074,2.802,7.847,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.098,2.853,7.568,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.122,2.904,7.304,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.145,2.956,7.054,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2.168,3.007,6.816,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2.191,3.058,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2.213,3.109,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2.234,3.16,6.171,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2.255,3.211,5.976,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2.275,3.262,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2.295,3.313,5.613,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2.315,3.364,5.443,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2.334,3.416,5.282,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2.352,3.467,5.127,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2.37,3.518,4.979,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2.388,3.569,4.838,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2.405,3.62,4.702,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2.421,3.671,4.572,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2.437,3.722,4.447,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2.453,3.773,4.328,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2.468,3.824,4.213,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2.483,3.876,4.102,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2.497,3.927,3.996,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2.51,3.978,3.894,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2.524,4.029,3.796,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2.536,4.08,3.702,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2.548,4.131,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2.56,4.182,3.523,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2.571,4.233,3.438,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2.582,4.284,3.357,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2.592,4.336,3.278,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2.602,4.387,3.202,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2.611,4.438,3.129,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2.62,4.489,3.058,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2.629,4.54,2.989,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2.636,4.591,2.923,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2.644,4.642,2.859,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2.651,4.693,2.797,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2.657,4.744,2.737,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2.663,4.796,2.679,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2.668,4.847,2.623,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2.673,4.898,2.569,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2.678,4.949,2.516,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2.682,5,2.465,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5 kn; 90 deg,,,,,,,,,,,,,,,,
,Encounter freq. rad/s,Wave freq. rad/s,Wavelength m,Surge RAO,Surge Phase deg,Sway RAO,Sway Phase deg,Heave RAO,Heave Phase deg,Roll RAO,Roll Phase deg,Pitch RAO,Pitch Phase deg,Yaw RAO,Yaw Phase deg,Added resistance kN/m^2
1,0.4,0.4,385.106,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.451,0.451,302.784,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.502,0.502,244.292,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.553,0.553,201.246,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.604,0.604,168.651,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.656,0.656,143.378,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.707,0.707,123.388,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.758,0.758,107.304,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.809,0.809,94.172,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.86,0.86,83.311,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.911,0.911,74.226,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.962,0.962,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.013,1.013,60.006,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.064,1.064,54.382,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.116,1.116,49.513,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.167,1.167,45.27,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.218,1.218,41.549,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.269,1.269,38.27,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.32,1.32,35.363,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.371,1.371,32.776,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.422,1.422,30.463,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.473,1.473,28.386,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.524,1.524,26.514,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.576,1.576,24.822,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.627,1.627,23.286,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.678,1.678,21.889,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.729,1.729,20.614,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.78,1.78,19.447,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.831,1.831,18.377,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.882,1.882,17.392,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.933,1.933,16.485,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.984,1.984,15.647,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2.036,2.036,14.871,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2.087,2.087,14.151,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.138,2.138,13.483,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.189,2.189,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.24,2.24,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.291,2.291,11.738,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.342,2.342,11.232,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2.393,2.393,10.757,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2.444,2.444,10.312,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2.496,2.496,9.894,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2.547,2.547,9.501,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2.598,2.598,9.131,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2.649,2.649,8.782,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2.7,2.7,8.452,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.751,2.751,8.141,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2.802,2.802,7.847,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.853,2.853,7.568,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.904,2.904,7.304,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.956,2.956,7.054,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3.007,3.007,6.816,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3.058,3.058,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3.109,3.109,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3.16,3.16,6.171,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3.211,3.211,5.976,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3.262,3.262,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3.313,3.313,5.613,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3.364,3.364,5.443,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3.416,3.416,5.282,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3.467,3.467,5.127,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3.518,3.518,4.979,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3.569,3.569,4.838,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3.62,3.62,4.702,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3.671,3.671,4.572,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3.722,3.722,4.447,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3.773,3.773,4.328,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3.824,3.824,4.213,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3.876,3.876,4.102,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3.927,3.927,3.996,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3.978,3.978,3.894,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4.029,4.029,3.796,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4.08,4.08,3.702,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4.131,4.131,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4.182,4.182,3.523,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4.233,4.233,3.438,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4.284,4.284,3.357,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4.336,4.336,3.278,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4.387,4.387,3.202,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4.438,4.438,3.129,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4.489,4.489,3.058,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4.54,4.54,2.989,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4.591,4.591,2.923,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4.642,4.642,2.859,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4.693,4.693,2.797,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4.744,4.744,2.737,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4.796,4.796,2.679,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4.847,4.847,2.623,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4.898,4.898,2.569,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4.949,4.949,2.516,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,5,2.465,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5 kn; 135 deg,,,,,,,,,,,,,,,,
,Encounter freq. rad/s,Wave freq. rad/s,Wavelength m,Surge RAO,Surge Phase deg,Sway RAO,Sway Phase deg,Heave RAO,Heave Phase deg,Roll RAO,Roll Phase deg,Pitch RAO,Pitch Phase deg,Yaw RAO,Yaw Phase deg,Added resistance kN/m^2
1,0.415,0.4,385.106,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.47,0.451,302.784,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.526,0.502,244.292,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.582,0.553,201.246,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.638,0.604,168.651,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.695,0.656,143.378,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.753,0.707,123.388,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.811,0.758,107.304,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.87,0.809,94.172,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.929,0.86,83.311,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.988,0.911,74.226,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.048,0.962,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.109,1.013,60.006,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.17,1.064,54.382,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.231,1.116,49.513,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.293,1.167,45.27,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.355,1.218,41.549,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.418,1.269,38.27,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.482,1.32,35.363,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.545,1.371,32.776,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.61,1.422,30.463,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.675,1.473,28.386,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.74,1.524,26.514,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.806,1.576,24.822,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.872,1.627,23.286,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.939,1.678,21.889,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.006,1.729,20.614,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.074,1.78,19.447,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.142,1.831,18.377,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.211,1.882,17.392,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2.28,1.933,16.485,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2.35,1.984,15.647,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2.42,2.036,14.871,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2.49,2.087,14.151,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.562,2.138,13.483,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.633,2.189,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.705,2.24,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.778,2.291,11.738,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.851,2.342,11.232,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2.925,2.393,10.757,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2.999,2.444,10.312,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3.073,2.496,9.894,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3.148,2.547,9.501,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3.224,2.598,9.131,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3.3,2.649,8.782,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3.376,2.7,8.452,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3.453,2.751,8.141,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3.53,2.802,7.847,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3.608,2.853,7.568,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3.687,2.904,7.304,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3.766,2.956,7.054,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3.845,3.007,6.816,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3.925,3.058,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4.005,3.109,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4.086,3.16,6.171,0,0,0,0,0,0,0,0,0,0,0,0,0
